#{"t_start": 1775382976.772105, "env_id": "None"}
r,l,t
110.8,38,96.084216
102.59,6,96.088577
13.47,64,96.135891
111.68,32,96.160141
15.0,64,96.205459
18.44,64,96.251005
14.98,64,96.299844
14.58,64,96.348307
18.95,64,96.39397
19.97,64,96.439733
17.44,64,96.487168
103.58,21,96.503459
14.01,64,96.551539
14.46,64,96.598008
112.89,48,96.632703
12.44,64,96.679093
107.6,46,96.712803
107.64,32,96.737029
16.72,64,96.791093
11.89,64,96.839572
9.42,64,96.886371
11.61,64,96.933599
102.55,15,96.944753
13.83,64,96.990611
11.6,64,97.037413
101.96,6,97.041948
13.68,64,97.089214
12.59,64,97.137422
112.91,51,97.17538
103.44,12,97.184336
108.59,37,97.21112
18.41,64,97.260055
107.45,53,97.302325
115.78,55,97.344393
110.61,46,98.719684
103.07,21,98.735626
15.19,64,98.782927
109.6,63,98.831191
15.86,64,98.881313
17.44,64,98.930915
114.24,59,98.974394
10.84,64,99.022959
106.75,27,99.043963
12.65,64,99.093118
110.71,52,99.134277
10.43,64,99.183769
13.92,64,99.234258
13.56,64,99.284977
106.9,30,99.307696
17.23,64,99.354968
101.83,5,99.359146
14.14,64,99.409944
116.29,51,99.448371
111.08,47,99.482942
107.98,32,99.508164
13.15,64,99.559169
115.54,58,99.603248
120.47,60,99.648228
111.29,37,99.676603
10.44,64,99.724564
8.39,64,99.773368
102.43,11,99.782184
114.03,47,99.816567
112.86,54,99.856315
15.61,64,99.904946
12.15,64,99.952945
19.51,64,100.001188
11.14,64,100.049858
15.77,64,100.09839
116.47,52,100.146824
117.36,63,100.199383
107.48,33,100.223389
118.5,64,101.660858
115.5,61,101.707314
13.99,64,101.756243
16.8,64,101.804893
100.86,11,101.81362
13.17,64,101.861405
107.64,37,101.889699
13.63,64,101.93809
111.53,23,101.956317
115.58,59,102.000579
14.18,64,102.048307
12.75,64,102.09622
108.72,44,102.130529
105.11,23,102.147554
18.48,64,102.196765
106.75,27,102.216741
15.96,64,102.26373
23.27,64,102.31171
104.71,29,102.332574
20.03,64,102.379769
108.52,41,102.41057
13.43,64,102.468938
113.7,49,102.508886
14.16,64,102.55931
12.41,64,102.608278
112.05,62,102.653764
105.13,25,102.671929
103.97,17,102.684404
111.1,49,102.720207
12.34,64,102.765637
16.51,64,102.810411
11.23,64,102.861577
107.07,32,102.885765
14.58,64,102.933603
108.41,28,102.954721
115.54,54,102.994695
107.6,27,103.014448
16.97,64,103.060549
14.11,64,103.107876
16.75,64,103.156766
14.4,64,103.211321
15.27,64,104.601964
115.71,56,104.645066
14.89,64,104.693264
113.49,51,104.732903
13.13,64,104.781565
104.52,15,104.793137
15.5,64,104.840655
12.11,64,104.893078
18.78,64,104.942244
18.89,64,104.988953
19.98,64,105.037224
15.92,64,105.085089
11.46,64,105.135083
16.08,64,105.184864
11.02,64,105.234551
15.59,64,105.286308
21.4,64,105.335827
110.05,33,105.36225
15.35,64,105.411317
112.47,47,105.448375
109.48,60,105.496587
11.56,64,105.547023
20.49,64,105.604826
113.72,60,105.65589
13.36,64,105.70817
14.75,64,105.757965
17.11,64,105.811576
13.07,64,105.863027
17.17,64,105.914448
18.59,64,105.961885
12.22,64,106.009912
104.04,18,106.024091
115.26,62,106.070509
102.67,13,106.079803
118.07,56,106.120423
110.6,27,106.141179
113.39,50,107.532078
111.7,35,107.559402
109.27,37,107.588268
13.46,64,107.637073
15.63,64,107.685554
14.6,64,107.735729
14.96,64,107.782274
18.62,64,107.830696
12.02,64,107.879378
21.5,64,107.928532
12.28,64,107.975974
17.19,64,108.025299
16.54,64,108.077579
15.0,64,108.128706
103.69,6,108.133752
18.54,64,108.185901
108.76,51,108.224224
102.63,13,108.233646
102.33,17,108.245895
10.0,64,108.293705
14.62,64,108.341751
123.17,64,108.388511
113.63,54,108.429337
11.98,64,108.476341
104.36,20,108.508961
9.05,64,108.556865
16.71,64,108.606022
12.15,64,108.653383
12.9,64,108.701582
111.04,37,108.730602
119.62,55,108.771182
110.4,56,108.810863
15.14,64,108.859065
15.48,64,108.907173
107.4,31,108.930987
103.33,13,108.941015
12.98,64,108.98836
109.26,46,109.023558
112.0,51,109.061005
14.51,64,110.47793
115.39,59,110.524591
108.74,40,110.554513
16.09,64,110.602406
14.73,64,110.653551
9.78,64,110.701601
10.39,64,110.750717
15.05,64,110.799807
101.36,10,110.808196
16.78,64,110.857534
15.79,64,110.911958
105.35,37,110.941591
12.98,64,110.990734
13.94,64,111.041176
14.84,64,111.09293
11.55,64,111.146203
16.72,64,111.195974
17.87,64,111.246301
13.22,64,111.296165
8.85,64,111.345028
14.7,64,111.392002
13.09,64,111.441138
101.09,7,111.446792
15.86,64,111.493684
122.05,52,111.536117
101.7,7,111.541665
17.81,64,111.587501
105.99,34,111.613055
15.31,64,111.661797
111.68,50,111.699923
13.9,64,111.747475
13.78,64,111.794757
17.52,64,111.842843
18.04,64,111.890486
16.27,64,111.937401
12.35,64,111.984146
106.56,19,111.998167
111.08,46,113.353614
109.86,25,113.372196
10.14,64,113.419742
9.3,64,113.466587
15.31,64,113.516086
100.19,1,113.517228
114.81,52,113.558081
12.05,64,113.604209
11.16,64,113.653669
101.64,17,113.667269
105.73,24,113.685519
119.95,62,113.73383
12.0,64,113.781004
111.39,49,113.817545
107.6,28,113.839738
13.06,64,113.887639
22.5,64,113.935672
10.64,64,113.98326
111.89,52,114.023404
104.33,23,114.041066
109.09,10,114.048968
20.04,64,114.094857
112.08,49,114.132415
12.19,64,114.182903
16.53,64,114.242498
15.34,64,114.295197
16.62,64,114.343062
105.44,19,114.358197
16.42,64,114.406727
14.7,64,114.455817
110.57,46,114.490096
15.79,64,114.539572
109.83,43,114.572412
15.76,64,114.620265
14.94,64,114.670925
18.06,64,114.721267
16.61,64,114.77132
14.29,64,114.81956
14.66,64,114.868311
107.83,32,114.89227
113.12,50,116.307836
11.14,64,116.356372
13.75,64,116.441052
12.82,64,116.503789
106.67,59,116.554083
14.4,64,116.610914
118.65,51,116.652849
109.86,44,116.691605
12.43,64,116.739852
20.26,64,116.789872
14.11,64,116.839761
112.15,57,116.883294
19.23,64,116.935322
15.44,64,116.982499
103.3,10,116.990392
104.7,14,117.001966
8.95,64,117.055611
106.4,27,117.075323
9.8,64,117.121364
12.25,64,117.172826
107.95,49,117.213223
17.53,64,117.263019
103.76,26,117.285104
115.52,59,117.332882
111.73,43,117.365337
8.73,64,117.413703
108.81,29,117.436738
18.1,64,117.484517
20.72,64,117.534185
16.07,64,117.584357
102.25,11,117.593373
114.98,44,117.62824
12.26,64,117.678859
100.76,7,117.684348
11.1,64,117.734374
15.1,64,117.783289
13.72,64,117.833062
12.19,64,117.883791
16.71,64,117.935853
14.04,64,119.441688
16.86,64,119.495939
102.68,18,119.51155
118.37,58,119.558769
112.85,64,119.604501
108.87,26,119.623988
107.08,38,119.652765
15.01,64,119.700733
104.53,22,119.71786
16.23,64,119.768574
16.43,64,119.816782
104.5,16,119.829232
12.37,64,119.87993
109.01,30,119.903502
11.91,64,119.952012
110.34,48,119.989828
103.17,17,120.003026
108.2,16,120.015818
13.77,64,120.066734
104.16,28,120.088254
16.71,64,120.136942
102.1,18,120.151358
101.42,16,120.163584
115.24,61,120.209091
110.03,41,120.240421
110.53,40,120.270153
8.26,64,120.318929
15.39,64,120.368625
115.52,48,120.403382
106.97,45,120.436851
111.51,47,120.47178
15.16,64,120.520362
115.82,45,120.555382
106.61,35,120.580675
9.47,64,120.629282
103.28,18,120.643007
13.78,64,120.691041
10.37,64,120.739372
113.11,61,120.787193
22.67,64,120.835789
15.53,64,120.886349
109.21,55,120.929499
19.98,64,120.977516
10.98,64,122.354187
15.36,64,122.402917
111.1,46,122.437694
100.64,7,122.442925
16.71,64,122.492113
15.76,64,122.540783
12.76,64,122.590067
16.12,64,122.638015
13.17,64,122.687078
108.94,37,122.715539
14.27,64,122.762376
121.79,62,122.808116
12.13,64,122.854546
109.16,22,122.871798
110.49,37,122.9006
21.04,64,122.948753
110.26,56,122.990437
17.29,64,123.038929
13.79,64,123.087553
12.52,64,123.133788
16.11,64,123.183107
13.24,64,123.236611
19.17,64,123.291788
108.29,50,123.335255
13.89,64,123.383839
16.4,64,123.436173
12.37,64,123.489999
105.46,35,123.520407
109.06,27,123.540942
112.48,51,123.579888
106.8,13,123.590072
104.62,26,123.608827
13.9,64,123.656848
20.26,64,123.706317
14.22,64,123.754762
22.86,64,123.803109
116.85,56,123.845047
15.95,64,125.221708
112.01,46,125.257332
104.68,26,125.277374
22.86,64,125.32814
12.26,64,125.376022
105.77,29,125.397249
12.78,64,125.445001
101.75,10,125.453055
9.84,64,125.502789
11.54,64,125.550739
101.95,14,125.561322
17.32,64,125.608781
12.0,64,125.657272
11.69,64,125.705843
16.34,64,125.755328
109.68,64,125.803942
111.67,62,125.850611
19.11,64,125.898498
117.06,63,125.944909
14.91,64,125.993642
108.85,34,126.019891
14.99,64,126.066869
14.4,64,126.114313
107.85,37,126.142635
117.11,53,126.183513
112.31,41,126.213262
104.08,28,126.233518
116.12,53,126.271796
107.0,34,126.297802
13.14,64,126.345762
12.62,64,126.391382
19.35,64,126.4373
110.4,45,126.470232
105.13,19,126.485979
11.09,64,126.534304
12.98,64,126.581999
112.18,62,126.629132
15.44,64,126.677145
115.83,56,126.719624
22.62,64,128.123026
11.73,64,128.176583
107.97,37,128.21123
9.68,64,128.27114
102.42,13,128.281843
106.83,25,128.301545
14.74,64,128.352384
17.73,64,128.399777
108.48,37,128.427008
15.59,64,128.473302
18.65,64,128.520085
17.62,64,128.568774
10.46,64,128.615354
109.91,59,128.659041
14.27,64,128.707987
17.45,64,128.75561
111.69,62,128.802858
16.39,64,128.850965
15.79,64,128.900678
105.26,25,128.919775
15.04,64,128.966995
15.79,64,129.014092
19.59,64,129.063334
111.65,43,129.095895
9.48,64,129.143663
14.88,64,129.19207
14.99,64,129.243308
115.9,58,129.289868
112.28,45,129.325159
105.65,22,129.341946
109.6,51,129.379771
105.98,18,129.39364
102.17,5,129.39782
103.16,14,129.408553
112.26,55,129.449829
15.23,64,129.496635
109.47,47,129.532802
16.51,64,129.58195
13.62,64,129.630817
13.9,64,129.678382
19.28,64,131.044679
110.35,33,131.071727
15.57,64,131.124186
17.57,64,131.173016
14.35,64,131.223676
9.2,64,131.269501
117.96,59,131.315839
11.95,64,131.363108
11.54,64,131.411291
109.98,54,131.450928
22.9,64,131.501151
13.75,64,131.549781
13.78,64,131.600832
16.47,64,131.65056
104.41,12,131.660109
10.72,64,131.707352
108.99,27,131.728103
104.92,11,131.736807
113.17,60,131.780689
107.83,34,131.806085
9.96,64,131.852396
17.71,64,131.900525
13.89,64,131.948906
106.98,32,131.972064
12.55,64,132.020003
16.27,64,132.068236
24.67,64,132.116084
14.81,64,132.1655
107.65,64,132.212751
115.49,46,132.247114
108.59,31,132.270614
13.56,64,132.321134
16.49,64,132.370506
13.33,64,132.418815
13.31,64,132.466308
17.81,64,132.512938
12.95,64,133.893627
16.58,64,133.945047
14.22,64,133.994043
17.45,64,134.044186
12.52,64,134.093534
18.42,64,134.144149
11.16,64,134.196599
115.29,53,134.237211
18.02,64,134.286432
113.14,57,134.333323
104.05,17,134.346749
22.52,64,134.395992
9.93,64,134.446741
14.96,64,134.496017
10.44,64,134.546697
10.7,64,134.593621
15.4,64,134.643352
101.04,11,134.652635
119.59,62,134.701669
121.32,63,134.749713
12.11,64,134.797267
20.16,64,134.847134
117.18,58,134.891612
109.99,37,134.920908
17.47,64,134.969432
9.47,64,135.015862
14.92,64,135.064655
106.21,27,135.084278
106.88,31,135.107129
101.84,9,135.114172
9.12,64,135.166212
11.05,64,135.217015
19.91,64,135.265676
8.47,64,135.313775
10.56,64,135.363621
104.63,13,135.373791
113.29,56,135.415788
106.08,26,135.435745
11.7,64,136.89002
115.74,61,136.937784
16.33,64,136.987247
12.81,64,137.036151
14.01,64,137.084862
20.56,64,137.13469
18.13,64,137.186194
112.71,35,137.215688
14.77,64,137.269695
12.1,64,137.318553
11.49,64,137.36916
109.59,35,137.395338
17.98,64,137.448047
13.21,64,137.496773
11.72,64,137.569762
108.76,34,137.594746
13.48,64,137.646307
21.3,64,137.69451
114.75,46,137.730344
14.62,64,137.778063
15.64,64,137.826648
116.08,42,137.858367
103.91,10,137.866241
15.84,64,137.912886
110.79,51,137.951881
111.09,41,137.981996
10.08,64,138.030542
13.63,64,138.080148
11.07,64,138.128823
104.78,23,138.146685
106.82,35,138.175015
112.48,50,138.212759
13.22,64,138.262026
17.45,64,138.31272
25.26,64,138.362382
10.4,64,138.411511
109.6,40,138.442215
16.05,64,139.847053
17.98,64,139.89375
108.51,44,139.927133
14.94,64,139.975137
114.01,35,140.002723
104.4,25,140.021898
109.3,41,140.054762
18.59,64,140.101673
109.8,56,140.145372
16.34,64,140.194245
12.48,64,140.244126
11.33,64,140.292491
16.18,64,140.342047
14.43,64,140.389146
109.13,32,140.41457
13.81,64,140.463726
12.42,64,140.511156
17.2,64,140.559853
12.35,64,140.606899
115.91,47,140.64224
113.42,63,140.689781
13.71,64,140.738773
107.08,29,140.761867
21.12,64,140.813572
104.31,17,140.827247
114.41,61,140.876907
17.54,64,140.928625
108.93,37,140.957116
15.78,64,141.00503
110.49,36,141.033213
13.74,64,141.082397
12.78,64,141.131715
18.14,64,141.183574
13.69,64,141.233357
14.94,64,141.283284
115.91,61,141.333327
11.63,64,141.38222
105.19,8,141.3889
17.77,64,142.822013
111.51,44,142.857293
14.66,64,142.907178
15.87,64,142.956329
9.84,64,143.005404
13.56,64,143.053629
111.29,55,143.09653
14.62,64,143.14476
103.2,13,143.155876
14.36,64,143.205491
16.32,64,143.25408
102.3,17,143.267202
13.22,64,143.316153
17.16,64,143.366352
106.38,39,143.396098
113.04,50,143.434211
16.0,64,143.482729
109.97,39,143.513199
8.98,64,143.563054
103.62,18,143.576422
112.28,64,143.624349
17.54,64,143.673211
118.44,64,143.72192
105.28,24,143.740505
17.61,64,143.787492
12.25,64,143.835804
108.73,39,143.866651
102.27,3,143.869399
14.96,64,143.918244
100.08,2,143.920175
111.01,29,143.943328
111.93,50,143.980378
13.07,64,144.027898
100.63,6,144.032915
15.16,64,144.080928
12.25,64,144.155017
17.05,64,144.210715
102.5,11,144.218509
114.41,55,144.25813
12.96,64,144.306308
22.12,64,144.35715
17.28,64,145.8279
116.07,55,145.871121
104.47,18,145.885191
104.64,15,145.896857
109.72,38,145.928243
15.32,64,145.979073
13.41,64,146.027624
15.42,64,146.077178
15.33,64,146.126402
106.67,24,146.145432
116.7,60,146.192953
107.51,24,146.211981
100.54,3,146.214283
109.59,40,146.245982
107.72,27,146.267079
17.53,64,146.318542
15.27,64,146.370106
12.61,64,146.420321
16.83,64,146.471305
17.5,64,146.524653
13.19,64,146.573073
13.32,64,146.620481
14.43,64,146.669114
107.52,30,146.692297
12.62,64,146.742174
108.58,31,146.766402
110.9,40,146.796383
24.38,64,146.8439
16.32,64,146.894619
24.1,64,146.945176
104.9,27,146.965149
15.83,64,147.013772
12.25,64,147.063376
13.17,64,147.113256
16.24,64,147.164023
116.18,46,147.20576
13.51,64,147.263034
18.75,64,147.313713
15.14,64,147.363253
109.55,46,147.398107
103.3,27,147.419659
12.14,64,148.902017
103.93,33,148.926091
100.24,9,148.933126
105.72,23,148.950349
108.67,20,148.964997
106.85,37,148.993128
115.54,55,149.032799
103.74,36,149.060176
107.33,34,149.085893
117.23,64,149.134216
23.46,64,149.179528
16.31,64,149.230305
11.92,64,149.27872
12.92,64,149.326832
13.07,64,149.37264
11.65,64,149.419734
111.34,42,149.450756
16.76,64,149.498302
16.04,64,149.549215
8.84,64,149.594706
102.57,3,149.597109
15.22,64,149.644206
100.52,4,149.647284
101.07,8,149.653223
112.4,32,149.676027
109.5,53,149.714881
14.56,64,149.761876
16.94,64,149.808122
106.44,35,149.833985
101.22,4,149.837254
103.04,18,149.850209
13.07,64,149.897856
108.61,41,149.928427
16.23,64,149.975082
11.38,64,150.023137
12.59,64,150.071076
15.56,64,150.118818
104.37,18,150.132581
21.71,64,150.179509
13.72,64,150.22683
14.31,64,150.273503
14.7,64,150.321659
116.59,58,150.36429
10.98,64,151.763947
115.24,51,151.802955
111.83,57,151.845693
111.49,51,151.884223
114.08,63,151.933309
102.33,16,151.945838
14.46,64,151.997841
9.45,64,152.047569
102.08,6,152.053144
104.1,21,152.072056
11.95,64,152.12305
11.36,64,152.170276
109.64,32,152.194548
110.52,39,152.224888
16.01,64,152.271371
12.56,64,152.322274
14.56,64,152.369736
102.71,32,152.393405
16.68,64,152.442967
18.14,64,152.492991
15.64,64,152.54197
13.06,64,152.591696
9.73,64,152.640078
107.71,29,152.661403
14.65,64,152.715792
14.07,64,152.764292
10.85,64,152.815629
112.08,48,152.854914
115.46,48,152.889409
13.36,64,152.936862
8.31,64,152.982994
115.04,45,153.016299
20.03,64,153.064652
116.3,51,153.104017
12.52,64,153.153936
14.82,64,153.201506
16.6,64,153.25054
14.44,64,153.297481
117.69,51,154.701843
17.12,64,154.751287
17.72,64,154.797811
15.24,64,154.84594
15.87,64,154.892797
107.89,41,154.925115
16.59,64,154.972595
114.86,54,155.013537
11.54,64,155.068393
106.9,29,155.092022
108.53,26,155.112745
12.67,64,155.164132
21.59,64,155.215862
107.44,30,155.240747
105.89,39,155.270563
18.99,64,155.321505
9.38,64,155.372028
110.57,56,155.414106
100.48,3,155.416688
106.58,31,155.440105
10.22,64,155.486634
9.32,64,155.535388
14.91,64,155.583176
11.78,64,155.633179
104.31,18,155.647674
14.47,64,155.69565
13.0,64,155.746181
17.46,64,155.796193
15.26,64,155.845127
14.23,64,155.894524
14.64,64,155.945281
12.61,64,155.993286
9.89,64,156.041128
10.83,64,156.089722
102.93,14,156.101055
100.38,5,156.105092
113.54,48,156.142966
102.66,19,156.159078
99.95,1,156.160122
116.67,46,156.195384
111.53,50,156.235166
18.55,64,157.649355
105.59,19,157.664917
100.56,8,157.671719
15.93,64,157.721314
108.06,31,157.745929
116.49,53,157.785715
15.41,64,157.833581
111.45,40,157.864321
13.96,64,157.912154
12.63,64,157.960554
109.76,41,157.99093
108.76,41,158.020311
103.89,15,158.032255
13.32,64,158.080365
12.01,64,158.129208
14.09,64,158.18076
13.95,64,158.232228
101.26,12,158.241131
107.02,29,158.263132
117.87,60,158.308896
109.43,22,158.326395
107.8,35,158.353793
11.73,64,158.400467
17.01,64,158.450411
100.35,5,158.457647
16.61,64,158.531362
12.0,64,158.580982
117.84,64,158.631178
17.56,64,158.680597
111.93,44,158.713918
112.43,40,158.744414
109.41,30,158.767926
109.15,24,158.786298
100.77,5,158.79028
102.75,13,158.799865
111.03,55,158.839653
105.91,32,158.863818
112.08,61,158.908837
12.77,64,158.957501
15.02,64,159.003757
13.44,64,159.050137
16.3,64,159.095963
13.6,64,159.142827
113.27,62,159.192234
16.36,64,160.650214
17.82,64,160.697914
13.76,64,160.747128
15.99,64,160.800908
12.0,64,160.849224
16.22,64,160.900832
16.05,64,160.952175
18.96,64,161.000385
115.66,60,161.046099
114.2,50,161.082797
113.68,63,161.129469
12.27,64,161.18098
19.18,64,161.229646
109.2,30,161.253708
116.3,61,161.305047
12.19,64,161.356563
12.67,64,161.403808
114.25,64,161.451333
9.2,64,161.498155
17.29,64,161.547468
13.6,64,161.593814
102.4,8,161.600264
16.42,64,161.649196
12.29,64,161.697762
114.18,58,161.742221
20.11,64,161.792101
15.48,64,161.841397
17.43,64,161.889097
108.73,25,161.909233
18.68,64,161.960386
13.62,64,162.007989
108.49,35,162.0346
15.72,64,162.08214
104.01,18,162.096071
16.04,64,162.143687
13.37,64,162.193186
101.17,2,162.195178
111.77,51,163.667682
15.24,64,163.714417
13.67,64,163.76282
17.98,64,163.811145
10.96,64,163.860099
16.87,64,163.907835
101.32,9,163.914759
9.52,64,163.962986
12.7,64,164.009388
14.87,64,164.059206
105.84,29,164.080112
109.99,37,164.107682
19.92,64,164.155914
110.24,31,164.179825
11.48,64,164.227721
113.09,44,164.261996
18.65,64,164.312851
14.04,64,164.367851
16.98,64,164.414691
102.15,20,164.430092
10.44,64,164.477758
115.82,59,164.52127
106.84,40,164.551406
16.14,64,164.599929
13.34,64,164.647197
11.5,64,164.69606
19.8,64,164.744852
19.15,64,164.793091
9.67,64,164.841942
16.07,64,164.889754
108.07,30,164.913691
14.35,64,164.961212
15.23,64,165.008244
104.61,31,165.032214
101.1,8,165.038513
17.3,64,165.085676
104.02,20,165.10106
116.1,57,165.14322
15.34,64,166.586375
102.94,11,166.594871
108.66,50,166.6322
111.96,56,166.676708
11.88,64,166.725147
113.74,46,166.76179
105.7,21,166.777741
120.53,60,166.823192
10.04,64,166.872053
15.11,64,166.923828
116.21,60,166.970416
113.71,64,167.018819
106.76,31,167.041999
17.41,64,167.088787
113.01,53,167.128975
111.38,53,167.171261
107.56,27,167.192597
109.51,39,167.223306
14.31,64,167.273266
13.61,64,167.322607
13.26,64,167.374772
17.3,64,167.425796
10.5,64,167.476727
115.23,61,167.522989
10.77,64,167.572401
15.67,64,167.622536
107.07,31,167.645997
106.47,42,167.678772
12.27,64,167.726855
12.65,64,167.774379
12.17,64,167.822028
108.08,40,167.852222
111.24,44,167.885394
110.42,41,167.918074
108.58,35,167.944818
20.03,64,167.992086
13.12,64,168.040261
15.6,64,168.09171
15.71,64,168.146595
13.56,64,169.622662
11.06,64,169.672589
111.97,43,169.706033
9.59,64,169.755159
108.91,52,169.795092
107.75,27,169.81636
103.9,22,169.833691
108.95,22,169.850839
114.04,50,169.889716
118.11,61,169.938682
18.97,64,169.989052
110.03,41,170.023948
106.75,20,170.040479
12.88,64,170.089958
11.94,64,170.138477
12.53,64,170.18865
110.03,52,170.227841
11.26,64,170.276855
105.29,29,170.298757
14.86,64,170.347843
101.14,9,170.355854
17.96,64,170.406887
12.63,64,170.460316
11.19,64,170.513265
13.68,64,170.566285
100.95,8,170.572557
16.08,64,170.623911
109.93,37,170.652595
109.13,43,170.687348
13.4,64,170.738706
14.52,64,170.789007
111.34,32,170.813838
19.93,64,170.865875
108.23,49,170.907133
109.96,47,170.944113
10.1,64,170.994521
10.51,64,171.044611
119.92,56,171.089975
13.67,64,171.142112
18.73,64,171.195081
9.58,64,172.628056
11.21,64,172.677277
110.32,57,172.720257
18.76,64,172.768562
105.04,28,172.790359
15.34,64,172.839489
15.48,64,172.886737
19.38,64,172.93687
14.83,64,172.98431
105.33,27,173.005196
110.06,34,173.030455
17.86,64,173.077999
15.34,64,173.125578
102.79,18,173.138312
106.35,33,173.164724
14.76,64,173.211755
13.37,64,173.258783
104.84,20,173.274211
102.85,14,173.284383
102.41,12,173.293316
112.84,53,173.33314
9.59,64,173.38224
15.76,64,173.429792
19.87,64,173.477983
10.19,64,173.528735
103.61,14,173.539814
13.36,64,173.585973
114.88,40,173.616063
102.6,3,173.61845
114.34,42,173.649081
13.82,64,173.69767
105.69,23,173.714808
11.11,64,173.762785
12.82,64,173.811179
111.02,37,173.837565
10.21,64,173.884942
16.84,64,173.933208
103.57,17,173.946188
115.89,63,173.992965
113.0,44,174.031379
8.72,64,174.083717
102.64,14,174.096858
16.73,64,174.145192
103.72,13,175.532115
11.53,64,175.582884
11.7,64,175.634382
107.04,32,175.659204
111.83,36,175.686987
12.83,64,175.735261
11.28,64,175.784138
113.61,45,175.819129
104.67,27,175.841059
22.67,64,175.893788
19.19,64,175.944508
113.86,47,175.980014
20.4,64,176.028552
103.46,19,176.043399
107.37,35,176.070919
12.77,64,176.120359
117.18,56,176.166056
18.52,64,176.215178
104.43,36,176.244041
14.21,64,176.292395
12.46,64,176.3439
13.57,64,176.404443
15.3,64,176.479121
15.22,64,176.54827
13.63,64,176.598472
111.98,49,176.646013
103.3,30,176.672031
112.31,45,176.709476
11.72,64,176.766499
9.06,64,176.816331
104.56,22,176.833521
22.14,64,176.88447
102.83,15,176.896811
20.62,64,176.949373
106.57,40,176.984121
11.9,64,177.043567
16.31,64,177.090669
16.75,64,177.142052
14.95,64,177.191756
18.84,64,178.646214
7.64,64,178.696713
18.04,64,178.747501
116.95,49,178.786079
9.06,64,178.835479
15.26,64,178.886071
106.13,25,178.906285
17.34,64,178.957206
104.65,16,178.970349
14.92,64,179.019308
118.47,57,179.065503
111.16,45,179.100225
109.85,42,179.132854
12.87,64,179.184894
110.32,50,179.224895
13.57,64,179.275702
101.4,4,179.279187
12.99,64,179.326832
10.06,64,179.375278
17.62,64,179.450736
116.27,64,179.500906
12.41,64,179.555622
11.93,64,179.607704
12.94,64,179.657336
11.7,64,179.708589
14.93,64,179.760903
103.21,17,179.774196
16.18,64,179.821596
107.82,34,179.848002
15.17,64,179.897371
12.12,64,179.946949
110.41,51,179.986776
19.84,64,180.036104
17.47,64,180.085363
106.19,31,180.108486
13.89,64,180.158983
115.39,49,180.197535
12.89,64,180.251654
13.45,64,181.71579
16.32,64,181.788704
112.72,61,181.833685
105.5,28,181.855472
114.24,54,181.894096
14.01,64,181.938918
21.8,64,181.98736
11.55,64,182.033351
12.45,64,182.082225
115.94,59,182.125356
13.06,64,182.174241
105.71,28,182.196107
110.65,32,182.221276
15.19,64,182.270058
121.12,58,182.314055
105.64,30,182.336054
19.89,64,182.38399
16.25,64,182.432953
13.58,64,182.483033
11.83,64,182.531325
105.56,10,182.53891
14.33,64,182.58596
106.64,33,182.609952
12.03,64,182.658359
115.75,51,182.696295
110.32,58,182.740597
108.13,35,182.767737
10.42,64,182.8159
105.35,19,182.830655
16.24,64,182.879835
116.61,55,182.921083
23.04,64,182.970278
10.48,64,183.018372
15.8,64,183.068589
109.38,50,183.106535
106.94,48,183.143019
17.2,64,183.192373
104.98,12,183.202326
107.53,33,183.227683
19.41,64,184.661096
14.93,64,184.710561
16.04,64,184.760949
13.38,64,184.811956
22.35,64,184.861203
105.83,42,184.892105
113.63,49,184.929162
17.04,64,184.976983
18.89,64,185.02465
118.73,58,185.071002
106.65,31,185.094184
14.32,64,185.142789
104.86,36,185.171753
15.57,64,185.219835
12.49,64,185.26934
22.29,64,185.31833
10.49,64,185.367313
10.81,64,185.416573
15.37,64,185.466697
101.74,12,185.47671
103.35,9,185.484115
14.19,64,185.536356
17.2,64,185.586719
18.97,64,185.634972
22.59,64,185.684056
16.22,64,185.732728
26.09,64,185.783178
109.08,53,185.824121
19.73,64,185.87274
15.89,64,185.920319
18.54,64,185.970095
19.51,64,186.016669
13.82,64,186.06369
20.55,64,186.112194
12.52,64,186.160542
110.53,46,186.195577
12.42,64,187.661
102.95,19,187.675981
105.5,39,187.70611
14.17,64,187.754875
14.39,64,187.803977
107.13,41,187.835804
103.09,21,187.852776
108.41,52,187.894494
100.61,7,187.900249
18.78,64,187.950797
108.98,56,187.995212
18.07,64,188.045277
110.9,36,188.075025
112.53,58,188.120199
111.97,44,188.156601
16.73,64,188.211279
16.06,64,188.262024
13.52,64,188.311574
15.46,64,188.362532
106.64,34,188.390207
14.42,64,188.439265
17.62,64,188.493648
100.48,9,188.501123
112.74,46,188.536644
10.29,64,188.586854
100.48,6,188.591975
101.12,10,188.60016
16.21,64,188.64936
113.9,57,188.69436
111.07,41,188.725947
115.82,58,188.771759
11.66,64,188.820884
108.88,30,188.844862
16.02,64,188.89549
104.8,8,188.901898
13.23,64,188.951924
111.75,47,188.988028
16.94,64,189.03672
14.78,64,189.084916
113.3,47,189.121788
110.69,64,189.172938
9.04,64,189.22274
16.26,64,190.701998
13.13,64,190.752114
118.17,50,190.789827
10.07,64,190.838144
16.98,64,190.888655
114.49,64,190.9401
11.53,64,190.986174
14.28,64,191.033747
9.38,64,191.084774
10.41,64,191.132875
10.99,64,191.182339
109.6,36,191.211697
111.89,47,191.246687
16.18,64,191.293937
20.31,64,191.341434
14.9,64,191.3892
14.68,64,191.43831
10.64,64,191.48935
