#{"t_start": 1775382976.772105, "env_id": "None"}
r,l,t
106.39,43,22.465427
11.41,64,22.514641
16.52,64,22.562466
18.94,64,22.610389
113.54,61,22.655408
109.24,51,22.695622
106.35,27,22.716665
111.18,43,22.749861
113.73,64,22.798155
12.83,64,22.845571
14.2,64,22.893056
16.63,64,22.942183
117.98,53,22.982644
12.07,64,23.031702
18.6,64,23.082235
103.91,14,23.093483
17.19,64,23.14282
18.79,64,23.192451
111.38,63,23.242444
107.15,24,23.260438
16.36,64,24.63949
10.75,64,24.687654
104.5,15,24.699359
111.59,33,24.724112
13.22,64,24.773789
18.35,64,24.82272
9.77,64,24.871778
8.03,64,24.921456
14.33,64,24.969852
14.75,64,25.017472
105.77,28,25.038883
10.64,64,25.088045
109.83,39,25.118236
13.39,64,25.166139
16.87,64,25.216589
105.89,42,25.251093
107.33,30,25.27482
114.92,46,25.310211
112.44,43,25.343235
16.74,64,25.390846
113.69,48,25.427111
10.8,64,25.475931
16.47,64,25.52485
16.47,64,25.575088
109.78,41,25.607393
104.66,27,25.627371
115.19,56,25.672893
108.43,42,25.708194
15.68,64,25.761906
20.83,64,25.817771
113.67,37,25.849791
16.98,64,25.907247
9.44,64,25.964632
17.07,64,26.021855
15.53,64,26.082866
14.22,64,26.134122
113.31,53,26.174577
110.37,46,26.20974
12.34,64,26.259242
12.8,64,27.691773
104.29,29,27.713942
102.29,12,27.723322
104.95,29,27.745595
14.74,64,27.795168
104.46,21,27.81264
16.09,64,27.862495
15.03,64,27.91133
14.8,64,27.961309
116.47,40,27.990807
105.35,27,28.011589
100.95,5,28.015503
108.79,60,28.062882
21.82,64,28.113461
117.92,54,28.155082
108.05,27,28.176916
15.17,64,28.229065
15.27,64,28.278497
14.22,64,28.329432
14.62,64,28.379926
103.3,20,28.396062
15.49,64,28.444857
104.61,41,28.477566
15.71,64,28.526769
14.02,64,28.577033
17.83,64,28.627012
107.26,31,28.651052
116.6,51,28.690573
16.96,64,28.737943
110.84,44,28.77153
13.99,64,28.821794
104.96,20,28.837726
16.28,64,28.887565
15.28,64,28.940088
116.67,42,28.972789
12.46,64,29.021657
116.01,63,29.071487
13.14,64,29.121009
15.19,64,29.168875
110.42,38,29.197411
14.72,64,30.639574
108.39,35,30.670764
116.24,62,30.719816
12.93,64,30.767344
102.97,17,30.780052
8.68,64,30.828043
14.17,64,30.878964
110.47,39,30.911399
106.88,39,30.943137
16.84,64,30.990625
12.06,64,31.044821
117.76,59,31.095723
14.22,64,31.154763
103.96,27,31.178807
105.52,28,31.201754
16.03,64,31.256147
12.98,64,31.310845
112.49,56,31.36166
105.14,19,31.377454
111.72,36,31.405276
113.67,56,31.448216
21.66,64,31.49823
114.0,51,31.538972
114.34,46,31.575387
15.91,64,31.625554
108.26,41,31.658059
15.75,64,31.706841
111.36,54,31.748999
106.07,26,31.768066
12.44,64,31.816344
9.98,64,31.866435
17.99,64,31.917905
100.97,7,31.924022
116.38,50,31.962463
103.46,14,31.97289
14.07,64,32.020681
101.92,11,32.029734
113.07,43,32.063008
16.44,64,32.112848
114.95,64,32.16364
110.06,54,32.205949
16.15,64,32.259654
106.49,17,32.273429
11.93,64,33.733706
103.08,9,33.74117
13.14,64,33.788484
19.41,64,33.837457
9.85,64,33.886879
107.84,34,33.913696
12.78,64,33.964687
111.27,48,34.002361
106.88,20,34.018345
14.5,64,34.070009
13.86,64,34.120949
19.88,64,34.171841
114.34,64,34.224544
15.46,64,34.277208
13.65,64,34.327183
17.51,64,34.379267
109.56,62,34.428361
102.38,22,34.446458
14.29,64,34.497222
111.17,51,34.53791
16.94,64,34.587105
111.07,50,34.62556
109.93,59,34.671284
109.8,30,34.69517
115.97,64,34.744923
19.87,64,34.793384
15.66,64,34.842456
15.19,64,34.891903
11.27,64,34.943011
14.22,64,34.992475
11.65,64,35.042724
106.29,37,35.073292
112.55,43,35.107804
13.37,64,35.157177
19.24,64,35.208077
102.59,12,35.218768
14.55,64,35.271137
14.19,64,36.723801
109.9,30,36.747151
18.57,64,36.794919
15.26,64,36.841789
15.3,64,36.88876
109.26,49,36.926357
17.36,64,36.975396
12.52,64,37.026287
18.72,64,37.11843
110.6,51,37.156138
17.16,64,37.204962
14.63,64,37.255777
109.25,50,37.293498
14.75,64,37.340895
111.22,48,37.378173
112.25,56,37.41959
19.17,64,37.467037
105.7,31,37.489586
14.76,64,37.538348
116.55,62,37.589695
15.94,64,37.638662
15.34,64,37.690051
100.08,2,37.692073
13.22,64,37.74422
115.9,57,37.790591
103.81,19,37.805219
19.66,64,37.853921
10.47,64,37.902922
115.23,43,37.936124
103.52,11,37.944391
15.62,64,37.992019
111.71,56,38.035021
118.17,53,38.077548
16.79,64,38.12527
10.4,64,38.173106
17.26,64,38.221672
19.6,64,38.270884
16.75,64,39.720197
14.06,64,39.769468
15.46,64,39.817482
14.9,64,39.867638
113.19,41,39.898662
109.75,38,39.928704
107.04,25,39.947479
105.39,20,39.963098
20.88,64,40.01157
14.48,64,40.061665
14.66,64,40.113286
110.73,46,40.148946
108.36,48,40.187181
108.43,45,40.221876
17.44,64,40.273432
14.26,64,40.322537
15.17,64,40.3732
18.98,64,40.421542
8.85,64,40.470772
14.13,64,40.518275
115.35,55,40.559622
13.34,64,40.607952
111.36,41,40.639217
17.58,64,40.68572
113.17,34,40.710207
7.02,64,40.757203
104.84,22,40.774411
18.71,64,40.824135
108.06,27,40.845054
103.15,10,40.853168
106.99,40,40.884767
11.32,64,40.937176
112.76,59,40.981254
18.11,64,41.027841
107.51,39,41.058395
101.95,8,41.064745
13.9,64,41.116646
116.97,53,41.158188
15.28,64,41.211053
104.74,18,41.225951
102.98,26,41.247207
14.21,64,41.298062
16.89,64,42.712988
14.44,64,42.76015
119.39,57,42.802916
14.23,64,42.849749
100.73,4,42.853149
16.55,64,42.904104
12.03,64,42.952804
17.69,64,42.999372
11.99,64,43.047976
100.49,4,43.051456
109.89,49,43.088749
112.16,58,43.131065
16.08,64,43.181644
14.41,64,43.249292
15.89,64,43.302074
12.14,64,43.354411
25.76,64,43.409629
19.44,64,43.46138
14.27,64,43.51335
17.63,64,43.565445
111.41,28,43.588684
17.95,64,43.639625
100.14,2,43.641757
12.58,64,43.69502
110.18,58,43.742732
17.03,64,43.791464
112.28,59,43.836097
18.3,64,43.885474
17.28,64,43.936656
100.41,2,43.938656
11.12,64,43.988143
113.13,57,44.03523
108.43,48,44.073765
109.84,57,44.116721
18.23,64,44.166878
102.95,15,44.178285
23.69,64,44.22918
9.44,64,44.279266
17.21,64,45.718269
13.56,64,45.76993
103.51,17,45.782454
16.25,64,45.831956
108.39,54,45.874474
9.61,64,45.923787
17.31,64,45.973256
15.89,64,46.022052
116.07,58,46.067465
12.74,64,46.116374
104.12,21,46.132679
22.87,64,46.182223
110.23,50,46.222406
15.83,64,46.274413
17.01,64,46.324651
20.71,64,46.374026
108.13,35,46.401531
12.98,64,46.448811
11.56,64,46.498474
101.51,3,46.501324
12.74,64,46.550945
12.32,64,46.599532
104.3,30,46.622651
107.02,40,46.653409
19.55,64,46.703248
14.52,64,46.753859
109.58,58,46.801707
17.35,64,46.852157
17.62,64,46.902442
117.84,44,46.939248
26.91,64,46.988973
15.93,64,47.040998
23.25,64,47.090782
12.78,64,47.138963
107.1,44,47.174365
18.75,64,47.230227
102.83,14,47.242287
17.89,64,47.292185
16.6,64,48.772919
107.51,31,48.796899
16.58,64,48.846032
18.51,64,48.895403
22.6,64,48.946815
14.67,64,48.994176
108.17,34,49.022254
111.22,53,49.062971
9.73,64,49.111751
108.45,37,49.140066
16.07,64,49.187118
15.19,64,49.235203
13.12,64,49.284423
105.66,40,49.314436
102.86,18,49.3282
112.67,55,49.369603
103.26,23,49.386626
12.65,64,49.437936
13.27,64,49.486808
107.92,48,49.526118
18.82,64,49.578803
11.62,64,49.628969
103.06,7,49.635087
10.0,64,49.685176
19.68,64,49.734828
15.21,64,49.783978
16.2,64,49.833475
13.77,64,49.880577
10.96,64,49.929198
14.78,64,49.978133
12.93,64,50.028641
12.43,64,50.080043
118.16,48,50.118911
15.27,64,50.169756
18.92,64,50.219199
22.34,64,50.269673
118.75,61,51.714301
14.87,64,51.765043
107.35,30,51.788245
105.81,28,51.80953
10.95,64,51.85968
108.16,28,51.881076
18.08,64,51.93075
110.0,61,51.979184
100.19,1,51.980204
116.21,47,52.01634
16.1,64,52.067228
111.2,44,52.102106
115.04,55,52.145192
9.9,64,52.195394
13.68,64,52.247129
18.19,64,52.296224
18.31,64,52.347107
101.34,4,52.350647
13.53,64,52.399827
15.61,64,52.449766
103.61,21,52.46566
16.33,64,52.515019
13.72,64,52.564848
21.44,64,52.612923
113.77,45,52.647783
12.66,64,52.697839
11.93,64,52.747557
10.81,64,52.79581
112.99,54,52.836686
106.2,30,52.860859
12.97,64,52.909994
16.04,64,52.960473
8.83,64,53.00961
15.68,64,53.059641
17.06,64,53.110847
18.84,64,53.158412
112.54,59,53.20215
10.74,64,53.252157
104.12,24,53.271641
14.65,64,54.752306
14.36,64,54.799735
17.38,64,54.84641
101.34,8,54.852367
110.7,35,54.879764
17.22,64,54.928333
17.76,64,54.975906
107.62,39,55.004593
107.36,38,55.033394
13.7,64,55.079616
13.92,64,55.127767
100.54,6,55.132711
18.2,64,55.18145
109.79,45,55.217439
14.67,64,55.266332
15.29,64,55.313227
111.24,38,55.341868
18.34,64,55.387833
13.6,64,55.436237
10.72,64,55.484181
12.97,64,55.533271
10.56,64,55.580271
24.21,64,55.627338
10.07,64,55.67607
102.53,12,55.686054
14.98,64,55.733589
18.18,64,55.782241
12.62,64,55.829279
14.71,64,55.876562
24.66,64,55.924643
12.5,64,55.973096
17.85,64,56.022226
111.12,44,56.055627
9.93,64,56.103784
15.17,64,56.151085
14.08,64,56.198094
14.46,64,56.246322
105.47,26,56.266131
15.66,64,57.630114
16.95,64,57.680367
108.45,40,57.711619
8.18,64,57.76014
113.65,58,57.803773
12.61,64,57.852327
102.79,11,57.861339
101.21,7,57.866571
105.88,34,57.891735
109.56,60,57.93692
101.89,15,57.948234
104.97,24,57.967812
16.41,64,58.015238
112.14,64,58.065001
12.74,64,58.114056
106.04,32,58.138843
20.6,64,58.186829
14.66,64,58.235161
108.4,34,58.262974
8.85,64,58.311276
11.4,64,58.360153
13.26,64,58.406395
103.7,28,58.427168
108.38,39,58.456049
11.18,64,58.506177
108.74,55,58.548822
109.83,52,58.588766
16.65,64,58.638625
101.55,11,58.647675
15.47,64,58.69571
108.66,47,58.731207
16.86,64,58.780088
103.9,26,58.800229
110.01,49,58.83717
110.8,60,58.88261
103.47,19,58.898121
12.77,64,58.947025
15.11,64,59.00154
16.12,64,59.050371
101.35,15,59.062576
110.29,49,59.099406
106.88,48,59.136841
115.28,51,60.514445
13.82,64,60.565428
15.46,64,60.617153
11.77,64,60.666615
11.27,64,60.716706
110.09,45,60.751724
17.33,64,60.802109
104.81,30,60.82543
16.27,64,60.872982
13.27,64,60.923905
103.92,33,60.949988
109.9,30,60.973142
115.57,51,61.012199
16.92,64,61.061975
103.77,12,61.07181
14.71,64,61.121235
18.44,64,61.172686
9.94,64,61.225469
14.04,64,61.27667
109.95,45,61.314226
104.9,26,61.335028
6.97,64,61.384357
13.54,64,61.431463
111.52,53,61.471673
12.53,64,61.520038
105.25,18,61.533285
19.6,64,61.583214
104.79,21,61.600297
18.27,64,61.649676
117.41,48,61.686967
12.59,64,61.734596
110.7,52,61.773756
11.41,64,61.822309
15.72,64,61.871675
20.85,64,61.921351
12.03,64,61.973274
117.02,64,62.021968
8.39,64,62.069793
112.05,40,63.383366
109.2,37,63.410298
20.49,64,63.457862
11.88,64,63.506064
112.33,49,63.542282
102.27,13,63.552263
102.99,6,63.55707
24.95,64,63.606784
13.99,64,63.654648
20.29,64,63.702478
100.29,5,63.706469
16.58,64,63.754904
108.07,35,63.780381
10.43,64,63.827145
12.96,64,63.874116
106.22,11,63.882649
8.65,64,63.931581
17.63,64,63.979104
114.35,47,64.015809
120.41,57,64.059097
102.47,12,64.067777
17.54,64,64.117005
107.94,34,64.143762
16.39,64,64.193824
108.71,29,64.216404
14.92,64,64.280136
104.2,22,64.297875
101.93,6,64.302481
14.54,64,64.353431
113.95,55,64.397049
12.49,64,64.444628
111.49,34,64.469079
109.94,49,64.50578
13.54,64,64.55582
15.2,64,64.605765
115.66,64,64.655284
14.14,64,64.704925
109.67,53,64.745569
9.17,64,64.79368
108.51,30,64.815571
113.23,54,64.856477
14.55,64,64.903144
12.32,64,66.285989
103.88,28,66.308098
118.19,61,66.355174
15.92,64,66.403383
12.49,64,66.451923
104.36,7,66.457678
112.06,55,66.50013
14.69,64,66.54904
14.62,64,66.59782
17.03,64,66.647677
105.66,20,66.663858
113.23,57,66.707857
15.62,64,66.75533
15.47,64,66.804866
110.72,39,66.834987
16.95,64,66.883173
10.95,64,66.934144
13.81,64,66.98282
100.71,5,66.986992
100.66,3,66.989537
14.69,64,67.039955
14.38,64,67.089096
16.24,64,67.141265
112.37,44,67.178071
114.0,51,67.219702
17.4,64,67.272124
13.87,64,67.32181
15.96,64,67.37014
18.44,64,67.418845
14.26,64,67.467562
107.82,24,67.48621
13.48,64,67.534609
16.87,64,67.582232
15.14,64,67.631339
12.4,64,67.681301
14.13,64,67.731711
14.76,64,67.779737
113.81,64,67.82836
103.75,36,67.856301
17.12,64,69.246884
16.92,64,69.29927
100.98,5,69.303779
11.17,64,69.354278
113.75,62,69.403032
12.48,64,69.454068
104.61,28,69.476453
15.3,64,69.529067
12.29,64,69.582023
13.38,64,69.634708
17.74,64,69.683225
13.35,64,69.73366
10.77,64,69.782591
107.88,38,69.812119
15.44,64,69.861021
107.74,37,69.888952
10.96,64,69.938459
109.21,37,69.96672
8.99,64,70.016792
15.72,64,70.067322
108.22,38,70.096537
13.21,64,70.148887
102.22,15,70.161656
