agent,episode,action_id,count,pattern,region,concurrency,access_pattern,block_size,duration_s,memory_mb,copy_threads,cpu_threads,warm_copy,max_errors,stress_score
random,1,1664,1,solid,6,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.7278800000000003
random,1,1200,1,butterfly,1,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.510508
random,1,1343,1,butterfly,5,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,5.033600000000001
random,1,819,1,random,6,high,sequential,page_4KB,300,0,16,8,True,-1,9.72895
random,1,1426,1,butterfly,7,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,8.37188352
random,1,303,1,checkerboard,0,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.561740800000001
random,1,919,1,march,1,medium,random,page_4KB,300,4096,8,4,True,10,6.7326336
random,1,193,1,walking_1_0,5,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.5491311999999997
random,1,764,1,random,5,low,rowhammer_like,page_4KB,30,256,4,0,True,1,1.6456000000000004
random,1,6,1,walking_1_0,0,low,random,page_4KB,120,1024,4,0,True,10,2.178
random,1,857,1,random,7,high,random,page_4KB,60,4096,16,8,True,10,6.320159999999999
random,1,222,1,walking_1_0,6,low,random,page_4KB,120,1024,4,0,True,10,2.178
random,1,20,1,walking_1_0,0,medium,rowhammer_like,page_4KB,30,1024,8,4,True,1,3.935500800000001
random,1,406,1,checkerboard,3,low,rowhammer_like,page_4KB,120,1024,4,0,True,1,3.4848000000000003
random,1,869,1,march,0,low,random,page_4KB,60,1024,4,0,True,10,1.8216
random,1,458,2,checkerboard,4,high,sequential,page_4KB,120,4096,16,8,True,-1,7.50519
random,1,1876,1,inversion,4,low,random,page_4KB,30,256,4,0,True,10,1.32396
random,1,1703,1,solid,7,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,4.065600000000001
random,1,1116,1,march,7,low,sequential,page_4KB,30,256,4,0,False,-1,0.9286249999999999
random,1,1115,1,march,6,high,rowhammer_like,page_4KB,300,0,16,8,True,1,20.727784000000003
random,1,1724,1,solid,7,high,rowhammer_like,page_4KB,30,4096,16,8,True,1,8.110872
random,1,1829,1,inversion,2,high,random,page_4KB,60,4096,16,8,True,10,7.4577887999999986
random,1,1340,1,butterfly,5,low,rowhammer_like,page_4KB,30,256,4,0,True,1,2.1392800000000003
random,1,259,1,walking_1_0,7,low,random,page_4KB,300,1024,4,0,True,10,2.9040000000000004
random,1,912,1,march,1,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.220834
random,1,940,1,march,2,low,random,page_4KB,30,256,4,0,True,10,1.2903
random,1,1627,1,solid,5,low,random,page_4KB,300,1024,4,0,True,10,2.7720000000000002
random,1,1102,1,march,6,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.405896960000002
random,1,31,1,walking_1_0,0,high,random,page_4KB,300,0,16,8,True,10,13.518119999999996
random,1,1858,1,inversion,3,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.599094272000001
random,1,498,1,checkerboard,5,high,random,page_4KB,120,4096,16,8,True,10,9.480239999999998
random,1,972,1,march,3,low,sequential,page_4KB,30,256,4,0,False,-1,0.9286249999999999
random,1,555,1,checkerboard,7,medium,sequential,page_4KB,300,4096,8,4,True,-1,5.561740800000001
random,1,410,1,checkerboard,3,medium,sequential,page_4KB,120,4096,8,4,True,-1,4.171305600000001
random,1,427,1,checkerboard,3,high,random,page_4KB,300,0,16,8,True,10,14.747039999999998
random,1,807,1,random,6,medium,sequential,page_4KB,300,4096,8,4,True,-1,4.634784
random,1,1613,1,solid,4,high,random,page_4KB,60,4096,16,8,True,10,6.636167999999999
random,1,1837,1,inversion,3,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3452
random,1,289,1,checkerboard,0,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3679999999999999
random,1,1909,1,inversion,5,low,sequential,page_4KB,60,1024,4,0,False,-1,1.3452
random,1,343,1,checkerboard,1,medium,random,page_4KB,300,4096,8,4,True,10,7.025356800000001
random,1,1146,1,march,7,high,random,page_4KB,120,4096,16,8,True,10,9.08523
random,1,977,1,march,3,low,random,page_4KB,60,1024,4,0,True,10,1.8216
random,1,1242,1,butterfly,2,medium,random,page_4KB,120,4096,8,4,True,10,5.7081024
random,1,91,1,walking_1_0,2,medium,random,page_4KB,300,4096,8,4,True,10,6.4399104
random,1,1849,1,inversion,3,medium,sequential,page_4KB,60,1024,8,4,True,-1,2.73452256
random,1,1391,1,butterfly,6,medium,rowhammer_like,page_4KB,300,4096,8,4,True,1,11.162511360000002
random,1,1632,1,solid,5,medium,sequential,page_4KB,30,1024,8,4,True,-1,2.027718
random,1,252,1,walking_1_0,7,low,sequential,page_4KB,30,256,4,0,False,-1,0.88825
random,1,1943,1,inversion,5,high,rowhammer_like,page_4KB,300,0,16,8,True,1,21.2685088
random,1,1716,1,solid,7,high,sequential,page_4KB,30,4096,16,8,True,-1,4.378027499999999
random,1,659,1,random,2,low,rowhammer_like,page_4KB,300,1024,4,0,True,1,3.8720000000000008
random,1,1639,1,solid,5,medium,random,page_4KB,300,4096,8,4,True,10,6.1471872
random,1,1030,1,march,4,medium,rowhammer_like,page_4KB,120,4096,8,4,True,1,7.405896960000002
random,1,1144,1,march,7,high,random,page_4KB,30,4096,16,8,True,10,6.056819999999999
random,1,1653,1,solid,5,high,rowhammer_like,page_4KB,60,4096,16,8,True,1,9.733046400000001
random,1,539,1,checkerboard,6,high,rowhammer_like,page_4KB,300,0,16,8,True,1,21.628991999999997
random,1,1302,1,butterfly,4,low,random,page_4KB,120,1024,4,0,True,10,2.574
random,1,619,1,random,1,low,random,page_4KB,300,1024,4,0,True,10,2.64
random,1,1684,1,solid,6,high,random,page_4KB,30,4096,16,8,True,10,5.5301399999999985
